,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205398451,,,,,,,,,,0.205398451,,,,,,,,,,0.205398451,,,,,,,,,
MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.340483109,,,,,,,,,,1.340483109,,,,,,,,,,1.340483109,,,,,,,,,
MMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.608969789,,,,,,,,,,3.608969789,,,,,,,,,,3.608969789,,,,,,,,,
NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195345682,,,,,,,,,,0.195345682,,,,,,,,,,0.195345682,,,,,,,,,
NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.626450891,,,,,,,,,,7.626450891,,,,,,,,,,7.626450891,,,,,,,,,
NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.55545375,,,,,,,,,,55.55545375,,,,,,,,,,55.55545375,,,,,,,,,
NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.912721692,,,,,,,,,,2.912721692,,,,,,,,,,2.912721692,,,,,,,,,
NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.947485319,,,,,,,,,,0.947485319,,,,,,,,,,0.947485319,,,,,,,,,
NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.007701258,,,,,,,,,,3.007701258,,,,,,,,,,3.007701258,,,,,,,,,
NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.448578879,,,,,,,,,,0.448578879,,,,,,,,,,0.448578879,,,,,,,,,
NIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.097501401,,,,,,,,,,3.097501401,,,,,,,,,,3.097501401,,,,,,,,,
