,year,country,Net migration,tas,pr,Arable land (%25 of land area),Population growth (annual %25),"Population, total"
155,2000-01-01,BEL,219560.0,10.664259599999998,76.26888840000001,27.83355350066052,0.37723355297295835,10333575.0
156,2005-01-01,BEL,294270.0,10.742284000000001,73.227963,27.793923381770178,0.7077042343871274,10631748.2
157,2010-01-01,BEL,258672.0,10.327517333333333,73.48315833333334,27.102597974460604,0.9449352908909624,11013594.0
158,1960-01-01,BLZ,-2418.0,25.2018522,176.714448,1.60017536168347,2.825435593253894,97476.8
159,1965-01-01,BLZ,-2957.0,24.9143514,181.378428,1.66593599298553,2.918314036868614,112696.0
160,1970-01-01,BLZ,-10665.0,25.2124996,162.283152,1.762384918895218,1.9244744842075883,126945.2
161,1975-01-01,BLZ,-13542.0,25.1616664,173.382132,1.8676019289785137,1.467651637146528,137133.2
162,1980-01-01,BLZ,-5332.0,25.3825,184.409724,2.0078912757562497,2.5283908424329637,151878.0
163,1985-01-01,BLZ,-5404.0,25.4953706,165.014908,2.0868040333187197,2.694109980063214,174261.2
164,1990-01-01,BLZ,-9011.0,25.756111599999997,176.314628,2.472599736957476,1.892731339725156,194461.2
165,1995-01-01,BLZ,11909.0,25.867222200000004,172.170558,2.7794826830337556,3.3946211717260164,222287.8
166,2000-01-01,BLZ,5797.0,25.866758800000003,165.46620600000003,2.9723805348531323,2.9162389187579345,262137.0
167,2005-01-01,BLZ,8722.0,25.9817592,181.13916,3.095133713283644,2.5850302623000116,299126.4
168,2010-01-01,BLZ,7594.0,26.097222666666667,187.99204,3.3318719859710697,2.3856364988051997,330233.6666666667
169,1960-01-01,BEN,-24295.0,27.371462400000002,97.92304,8.424973394820856,1.49154186442918,2505841.8
170,1965-01-01,BEN,-23742.0,27.447485999999998,93.320938,9.542390918765514,1.949043027431372,2738414.6
171,1970-01-01,BEN,-24845.0,27.215701799999998,83.21104979999998,11.28059595601276,2.233168100934938,3046713.2
